number,name,position,age,nation,team,value
1,Erling Haaland,Centre-Forward,23,Norway,Manchester City,€180.00m
2,Kylian Mbappé,Centre-Forward,24,France,Paris Saint-Germain,€180.00m
3,Jude Bellingham,Central Midfield,20,England,Real Madrid,€150.00m
4,Vinicius Junior,Left Winger,23,Brazil,Real Madrid,€150.00m
5,Bukayo Saka,Right Winger,22,England,Arsenal FC,€120.00m
6,Victor Osimhen,Centre-Forward,24,Nigeria,SSC Napoli,€120.00m
7,Jamal Musiala,Attacking Midfield,20,Germany,Bayern Munich,€110.00m
8,Phil Foden,Left Winger,23,England,Manchester City,€110.00m
9,Harry Kane,Centre-Forward,30,England,Bayern Munich,€110.00m
10,Pedri,Central Midfield,20,Spain,FC Barcelona,€100.00m
11,Rodrygo,Right Winger,22,Brazil,Real Madrid,€100.00m
12,Lautaro Martínez,Centre-Forward,26,Argentina,Inter Milan,€100.00m
13,Federico Valverde,Central Midfield,25,Uruguay,Real Madrid,€100.00m
14,Declan Rice,Defensive Midfield,24,England,Arsenal FC,€100.00m
15,Rodri,Defensive Midfield,27,Spain,Manchester City,€100.00m
16,Moisés Caicedo,Defensive Midfield,21,Ecuador,Chelsea FC,€90.00m
17,Gavi,Central Midfield,19,Spain,FC Barcelona,€90.00m
18,Eduardo Camavinga,Central Midfield,20,France,Real Madrid,€90.00m
19,Aurélien Tchouaméni,Defensive Midfield,23,France,Real Madrid,€90.00m
20,Rafael Leão,Left Winger,24,Portugal,AC Milan,€90.00m
21,Frenkie de Jong,Central Midfield,26,Netherlands,FC Barcelona,€90.00m
22,Martin Ødegaard,Attacking Midfield,24,Norway,Arsenal FC,€90.00m
23,Florian Wirtz,Attacking Midfield,20,Germany,Bayer 04 Leverkusen,€85.00m
24,Bruno Guimarães,Defensive Midfield,25,Brazil,Newcastle United,€85.00m
25,Khvicha Kvaratskhelia,Left Winger,22,Georgia,SSC Napoli,€85.00m
